"","Country","Divison","ISO 3 Letter","iso3num","Self_employed_total","Employed_total","Divison_total","female_employed_total","female_self_employed_total","male_self_employed_total","male_employed_total","female_self_employed_percent_divison","female_employed_percent_divison","male_self_employed_percent_divison","male_employed_percent_divison","female_self_employed_percent_slf","male_self_employed_percent_slf","female_employed_percent_ees","male_employed_percent_ees"
"163","Sweden","55-68","SWE",752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Sweden","56","SWE",752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Sweden","79","SWE",752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Taiwan Province of China","55-68","TWN",NA,NA,NA,94495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Taiwan Province of China","56","TWN",NA,NA,NA,419377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Taiwan Province of China","79","TWN",NA,NA,NA,32629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","United Kingdom","55-68","GBR",826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","United Kingdom","56","GBR",826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","United Kingdom","79","GBR",826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","North Macedonia","55-68","MKD",807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","North Macedonia","56","MKD",807,NA,NA,18730.307307148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","North Macedonia","79","MKD",807,NA,NA,1176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Pakistan","55-68","PAK",586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
