"","Mode","Units","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Country"
"113","Water","Thousands",301.5,280.1,355.3,380.1,358.8,483.7,530.3,530.9,625.6,713.9,706.4,753.9,833.2,844.7,812.6,806.5,764.3,725.3,722.1,717.5,706.4,795.5,847.9,959.5,1113.5,1.8,6.2,388.2,"CANADA"
"114","Land","Thousands",10935.1,10730,10691.7,11548.5,11701.2,11509.4,11801.4,12333.5,10499.9,10933.6,10317.6,9726.3,9283.7,8646,8143.6,8250.4,7997.2,8200.4,8160.5,8091.1,8848.49999999999,9373.4,9458.5,9802.3,10032.9,1294.5,1461.1,5766.8,"CANADA"
"115","Air","Thousands",361,373,381,404,395,354,334,303,294,260,168,267,292,303,272,288,309,322,345,383,385,385,418.4,463,503,121.8,17.3,284.3,"CAYMAN ISLANDS"
"116","Water","Thousands",683,800,867,871,1036,1031,1215,1575,1819,1693,1799,1930,1716,1553,1520,1598,1401,1507,1376,1610,1717,1712,1728.4,1921,1831,538.1,NA,743.4,"CAYMAN ISLANDS"
"117","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAYMAN ISLANDS"
"118","Air","Thousands",26,21,17,7.5,10,11.2,9.9,2.9,5.7,8.2,12,13.7,17.1,30.6,52.4,53.8,65.4,70.8,84,96,121,82,107,109,87,35,NA,NA,"CENTRAL AFRICAN REPUBLIC"
"119","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL AFRICAN REPUBLIC"
"120","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL AFRICAN REPUBLIC"
"121","Air","Thousands",NA,NA,NA,27,31,38,79,80,54,48,21,42,74,58,67,62,74,84,97,119,120,98,87,77,79,11,40,NA,"CHAD"
"122","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHAD"
"123","Land","Thousands",NA,NA,NA,14,15,16,39,40,27,21,9,4,3,3,3,9,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHAD"
"124","Air","Thousands",552,571,655,683,640,662,649,606,708,760,855,912,1055,1086,1030,1052,1265,1445,1475,1534.96,1710,1985,2569.3,2364.3,2078.9,422.6,185.9,1135.3,"CHILE"
"125","Water","Thousands",8,6,13,17,20,26,34,28,37,67,75,95,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHILE"
"126","Land","Thousands",980,872,975,1057,972,1054,1040,778,869,958,1097,1246,1348,1624,1730,1749,1872,2109,2101,2139.5,2768,3656,3880.6,3358.6,2439.1,696.5,4.1,895.1,"CHILE"
"127","Air","Thousands",4813,5325,5856,5559,6627,7745,8617,10343,8080,12617,14736,16500,18815,16813,16301,20014,20911,21421,20744.2,21086.2,21012.3,22675.6,23070,24448.1,25298.6,NA,NA,NA,"CHINA"
"128","Water","Thousands",3997,4164,4578,3754,3814,3860,4115,4377,3787,4727,5212,5484,5920,5480,4672,5039,5082,4793,4643.6,4593.7,4540.4,4731.5,4612.4,4658.8,4228.6,NA,NA,NA,"CHINA"
"129","Land","Thousands",37577,41637,47154,54164,62355,71839,76280,83188,79794,91694,100345,102958,107137,107734,105503,108709,109430,106191,103690,102818.3,108267.7,114366.5,125577.7,129499.5,133010.6,NA,NA,NA,"CHINA"
"130","Air","Thousands",294,495,546,645,510,520,549,507,551,701,834,936,1055,1068,1192,1145.9,1384.5,1284.1,1394,1576.7,1852.7,2094.2,2310.6,2570.1,2671.1,758.2,1234,2901.7,"COLOMBIA"
