"","Mode","Units","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Country"
"529","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SERBIA AND MONTENEGRO"
"530","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SERBIA AND MONTENEGRO"
"531","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SERBIA AND MONTENEGRO"
"532","Air","Thousands",115,126,125,124,121,127,127,129,119,117,125,137,159,156,155,174,193,207,229.6,232,275,302,348,355.8,371.9,108.3,182.3,330.5,"SEYCHELLES"
"533","Water","Thousands",6,5,5,4,3,3,3,3,3,4,4,4,2,3,2,1,1,1,0.7,1,1,1,2,6,12.3,6.5,0.6,1.5,"SEYCHELLES"
"534","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEYCHELLES"
"535","Air","Thousands",13.8,21.9,7.5,12.9,10.6,15.8,24.1,28.4,38.1,43.6,40,33.7,32.2,36,37,39,52,60,81,44,24,54,51,57,63,24,40,NA,"SIERRA LEONE"
"536","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SIERRA LEONE"
"537","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SIERRA LEONE"
"538","Air","Thousands",5384,5463,5362,4687,5142,5658,5404,5394,4232,5728,6267,6758,7172,7234,7228,8845,10142,11109,11852,11693.4,11831.1,12651.7,13547.8,14330,14876.6,2114.2,317,5400,"SINGAPORE"
"539","Water","Thousands",816,896,972,830,1018,1157,1197,1177,1028,1332,1364,1571,1538,1322,1154,1266,1328,1464,1518,1543.3,1602.5,1676.3,1760.9,2057,2211.7,390.9,8.1,543.4,"SINGAPORE"
"540","Land","Thousands",937,933,864,724,798,877,921,997,867,1269,1312,1423,1575,1560,1301,1531,1701,1923,2198,1858.4,1797.9,2075.4,2115.9,2121,2027.8,237.3,4.9,362.4,"SINGAPORE"
"541","Air","Thousands",20,20,19,19,19,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SINT EUSTATIUS"
"542","Water","Thousands",5,4,6,6,6,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SINT EUSTATIUS"
"543","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SINT EUSTATIUS"
"544","Air","Thousands",460,365,439,458,445,432,403,381,428,475,468,468,469,475,440,443,424,457,467,500,505,528,402,178,320,106,249,373,"SINT MAARTEN (DUTCH PART)"
"545","Water","Thousands",564,657,886,881,616,868,868,1055,1172,1348,1488,1422,1422,1346,1215,1513,1656,1753,1786,2002,1902,1669,1238,1597,1632,436,233,844,"SINT MAARTEN (DUTCH PART)"
"546","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SINT MAARTEN (DUTCH PART)"
"547","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLOVAKIA"
"548","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLOVAKIA"
"549","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLOVAKIA"
"550","Air","Thousands",62,75,90,88,80,202,226,241,264,288,298,336,364,407,390,438.5,478.5,491.4,517.3,553.1,900.1,1011.7,1188.6,1318,1500,388,281,603,"SLOVENIA"
"551","Water","Thousands",1,1,2,2,2,2,2,2,1,1,2,2,2,2,NA,NA,NA,2,2.2,2.3,2.4,2.7,3.1,3.5,1,NA,NA,NA,"SLOVENIA"
"552","Land","Thousands",668,756,882,887,803,886,991,1059,1108,1210,1255,1279,1385,1549,1434,1610.4,1757.6,1883.2,1982.3,2119.7,2119.5,2382.5,2799,3103.6,3201,827,1543,3316,"SLOVENIA"
"553","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,9.4,11.5,13.7,16.3,18.3,20.5,22.9,23.9,24.4,20.1,21.6,23.2,25.7,27.9,28.9,4.4,0.7,NA,"SOLOMON ISLANDS"
"554","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOLOMON ISLANDS"
"555","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOLOMON ISLANDS"
"556","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOMALIA"
"557","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOMALIA"
"558","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOMALIA"
"559","Air","Thousands",1136,1230,1329,1463,1523,1597,1596,1885,1980,2025,2127,2318,2501,2581,2152,2739,2503,2937,3164,2573,2535.5,2893.3,3060.3,3088.5,3006.3,773.8,605.6,1837.6,"SOUTH AFRICA"
"560","Water","Thousands",26,30,37,38,49,26,17,18,5,3,3,7,5,2,1,5,9,11,7,4,6.8,11.3,9.1,15.6,16.1,10.2,0.3,5.6,"SOUTH AFRICA"
"561","Land","Thousands",3522,3926,3804,4397,4454,4377,4295,4646,4655,4787,5388,6184,6702,7146,4859,5330,5827,6240,6366,6972,6361.5,7139.6,7215.7,7368,7206.3,2018.3,1649.7,3854.8,"SOUTH AFRICA"
"562","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTH SUDAN"
"563","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTH SUDAN"
"564","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTH SUDAN"
"565","Air","Thousands",23934,24658,27677,30457,32574,34380,35331,34947,36923,38524,40730,42445,44324,44397,40233,40558.9,44614,46159.4,48763,51823,54364.6,60343.7,66639.5,67545.7,68691.9,13657.7,24431.9,59307.8,"SPAIN"
"566","Water","Thousands",NA,NA,NA,601,1085,1083,1256,1225,1521,1511,1772,1460,1456,1452,1398,1441.5,1416,1078.5,908,859,976.1,1635.4,1965.7,2012.1,1720.8,223.3,227,1152.2,"SPAIN"
"567","Land","Thousands",9037,9369,9454,10834,11781,10939,11978,14158,12410,12395,13411,14100,12885,11343,10547,10676.6,10147,10226.4,11005,12257,12828.8,13335.9,13263.4,13250.6,13096.5,5052.1,6522,11199.2,"SPAIN"
"568","Air","Thousands",403,302,366,381,436,400,337,393,500,566,549,559,494,438,447,654,854,1002.47,1248,1500.5,1773,2026.6,2090.4,2247.9,1814.9,479.6,194,716.7,"SRI LANKA"
"569","Water","Thousands",0.3,0.2,0.4,0.3,0.2,0.3,0.2,NA,0.2,0.2,0.3,0.4,0.3,0.1,0.4,0.4,2,3.14,26,26.7,25,24.3,25.6,85.8,98.8,28.1,NA,3.3,"SRI LANKA"
"570","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SRI LANKA"
"571","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STATE OF PALESTINE"
"572","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STATE OF PALESTINE"
"573","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STATE OF PALESTINE"
"574","Air","Thousands",29,38,30,30,33,32,42,42,40,51,197,318,361,364,294,287,311,402.2,413.9,478.5,NA,551,561,NA,NA,NA,NA,NA,"SUDAN"
"575","Water","Thousands",NA,NA,NA,4,4,4,5,7,8,8,37,7,59,58,84,198,214,114.9,118.3,191.4,NA,160,162,NA,NA,NA,NA,NA,"SUDAN"
"576","Land","Thousands",NA,NA,NA,2,2,2,3,3,3,3,12,3,16,18,42,10,11,57.5,59.1,13.7,NA,88,89,NA,NA,NA,NA,NA,"SUDAN"
"577","Air","Thousands",43,53,61,55,57,57,54,60,82,75,122,119,134,120,113,146,150,155,149,154,140.4,167,199.9,NA,NA,NA,NA,NA,"SURINAME"
"578","Water","Thousands",26,21,17,15,15,15,14,NA,17,16,38,35,33,31,38,59,70,85,100,98,87.3,90,78.1,NA,NA,NA,NA,NA,"SURINAME"
"579","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SURINAME"
"580","Air","Thousands",NA,NA,NA,NA,NA,NA,3083,2700,NA,NA,NA,NA,NA,NA,NA,NA,3689,4662,4509,4503,NA,NA,NA,NA,NA,NA,NA,NA,"SWEDEN"
"581","Water","Thousands",NA,NA,NA,NA,NA,NA,2221,2558,NA,NA,NA,NA,NA,NA,NA,NA,7019,7630,7036,7032,NA,NA,NA,NA,NA,NA,NA,NA,"SWEDEN"
"582","Land","Thousands",NA,NA,NA,NA,NA,NA,2132,2200,NA,NA,NA,NA,NA,NA,NA,NA,8696,7719,7259,8410,NA,NA,NA,NA,NA,NA,NA,NA,"SWEDEN"
"583","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SWITZERLAND"
"584","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SWITZERLAND"
"585","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SWITZERLAND"
"586","Air","Thousands",271,325,355,343,344,544,579,666,629,830,836,878,945,1256,1088,1455,849,NA,NA,NA,NA,168.8,237.5,266.7,322.8,96.8,244.5,NA,"SYRIAN ARAB REPUBLIC"
"587","Water","Thousands",10,9,12,12,15,30,21,20,19,28,33,27,24,29,9,12,2,NA,NA,NA,NA,0.5,0.7,1.1,0.8,0.5,0.9,NA,"SYRIAN ARAB REPUBLIC"
"588","Land","Thousands",1971,2101,1965,2108,2322,2838,3071,3992,4189,5476,4989,4776,4465,5666,5559,7990,4582,NA,NA,NA,NA,874.1,1052.9,1534.3,2100.7,382,415.4,NA,"SYRIAN ARAB REPUBLIC"
"589","Air","Thousands",2317,2344,2358,2284,2397,2611,2814,2954,2228,2916,3341,3450,3624,3736,4177,5265,5762,6955,7660,9432,9839.3,10161.3,10151.3,10415.2,11193,1331.3,127.7,875.9,"TAIWAN PROVINCE OF CHINA"
"590","Water","Thousands",15,14,14,14,14,13,17,24,20,35,37,70,92,110,218,302,325,356,356,478,600.4,529,588.3,651.5,671.2,46.6,12.7,20.1,"TAIWAN PROVINCE OF CHINA"
"591","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TAIWAN PROVINCE OF CHINA"
"592","Air","Thousands",NA,NA,NA,NA,0.7,2.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,78,170,390.5,284,281,305,NA,NA,NA,NA,"TAJIKISTAN"
"593","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TAJIKISTAN"
"594","Land","Thousands",NA,0.7,2.1,3.2,3.8,5.4,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,130,43,23.3,60,150,730,NA,NA,NA,NA,"TAJIKISTAN"
"595","Air","Thousands",110,146,160,311,365,312,315,316,320,257,331,359,389,439,380,405,476,604,562.5,636,651.8,768.1,769,929,936,366.1,609.9,NA,"TANZANIA, UNITED REPUBLIC OF"
"596","Water","Thousands",16,22,35,8,6,15,21,20,25,24,10,14,16,9,10,23,3,3,59.2,60,62.5,77.1,76,11.4,10,11,12.9,NA,"TANZANIA, UNITED REPUBLIC OF"
"597","Land","Thousands",169,158,165,163,256,175,189,239,231,302,272,271,315,322,324,355,389,469,474.2,444,422.7,439.1,482,565.3,581,243.7,404.1,NA,"TANZANIA, UNITED REPUBLIC OF"
"598","Air","Thousands",5670,6124,6205,6678,7263,8077,8456,8955,8164,9803,9544,11495,11975,11624,11100,12378,14929,17803,21501,NA,NA,27217.5,30113.7,32136.1,33481.6,5625.4,510.8,NA,"THAILAND"
"599","Water","Thousands",159,137,116,178,234,248,250,225,180,247,242,303,280,213,254,486,552,563,705,NA,NA,473.6,494.1,616.3,761.1,981.9,NA,NA,"THAILAND"
"600","Land","Thousands",1122,983,973,987,1154,1254,1427,1693,1738,1688,1781,2024,2209,2747,2796,3072,3749,3988,4341,NA,NA,4838.4,4984.2,2425.7,5673.6,117.9,NA,NA,"THAILAND"
"601","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,22.3,36,44.2,39.8,50.6,57.5,77.8,59.8,61.6,65.6,73.9,74.6,80.8,17.9,5.5,NA,"TIMOR-LESTE"
"602","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TIMOR-LESTE"
"603","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TIMOR-LESTE"
"604","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,219,352.7,366.8,517,NA,NA,NA,"TOGO"
"605","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.2,17.2,8.8,NA,NA,NA,"TOGO"
"606","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,118,158,189.1,350.5,NA,NA,NA,"TOGO"
"607","Air","Thousands",29,27,26,27,31,35,32,37,40,41,42,39,46,50,45.7,47.1,46,47.4,48.2,50.4,53.8,59.1,62.5,54,67.3,9,0.2,18.4,"TONGA"
"608","Water","Thousands",4,4,3,8,13,8,6,8,11,10,18,15,19,15,29,17.9,22.4,9.8,11.5,15.4,18.8,27.5,24.1,23.3,26.7,2.5,NA,3.9,"TONGA"
"609","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TONGA"
"610","Air","Thousands",260,266,324,334,358,399,383,384,409,443,463,461,449,437,419,388,431,455,434,412.8,439.8,410,394.7,375.5,388.6,95.3,40.6,226.5,"TRINIDAD AND TOBAGO"
"611","Water","Thousands",22,51,36,43,63,104,85,67,65,58,66,73,82,45,115,102,60,49,33,45.8,82,88.3,75.2,132.3,93,45.8,0.5,26.8,"TRINIDAD AND TOBAGO"
"612","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRINIDAD AND TOBAGO"
"613","Air","Thousands",2502,2674,3030,3224,3591,3752,3761,3066,2992,3664,4053,4144,4263,4371,4034,4140,2406,3597,3766,3449,NA,1960.9,2339.5,3166.4,3556.1,587,793.4,2391,"TUNISIA"
"614","Water","Thousands",51,55,58,55,68,70,72,78,89,84,94,101,105,103,109,110,90,96,78,89,NA,74.6,86.2,89.6,118.6,33,55.4,108.7,"TUNISIA"
"615","Land","Thousands",1566,1155,1176,1439,1173,1236,1554,1920,2033,2250,2232,2305,2394,2576,2759,2653,2289,2257,2425,2532,NA,2490.3,3317,3665.2,4309.8,812,751.4,2669.8,"TUNISIA"
"616","Air","Thousands",5164,6240,7020,6699,4687,7274,8459,9990,10080,12575,14980,14085,20271,22974,22912.4,23101,26026.3,27733,29418,31034,31040.4,22425.4,28113.9,35230.1,39828.9,11765,23573.1,37984.9,"TÜRKIYE"
"617","Water","Thousands",885,922,953,1111,835,1145,1138,745,992,1152,1320,1457,1812,2680,2669,2122,2709,2528,2616,2493,2371.2,958,838,1039.7,1455.6,310,408.3,1950.8,"TÜRKIYE"
"618","Land","Thousands",1678,1452,1716,1943,1965,2010,2022,2520,2957,3790,4825,4278,5132,5484,6178.4,7774,8034,7455,7827,8100,7702.5,7523.3,9018,9842.8,10462.7,3896,6057.6,11451.9,"TÜRKIYE"
"619","Air","Thousands",138,89,91,94,NA,2.2,1.1,4.8,2.7,3.8,2.7,4,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TURKMENISTAN"
"620","Water","Thousands",NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TURKMENISTAN"
"621","Land","Thousands",95,182,241,286,NA,1.2,4.1,6,5.5,11,8.9,1.7,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TURKMENISTAN"
"622","Air","Thousands",76,86,91,111,120,139,164,154,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TURKS AND CAICOS ISLANDS"
"623","Water","Thousands",3,2,2,NA,1,13,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TURKS AND CAICOS ISLANDS"
"624","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TURKS AND CAICOS ISLANDS"
"625","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.1,0.9,0.9,1,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,3,3.6,0.6,0.04,0.244,"TUVALU"
"626","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.1,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,NA,NA,"TUVALU"
"627","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TUVALU"
"628","Air","Thousands",NA,NA,97,100,97,78,80,86,97,131,172,200,234,358,271,369,369,416,423,443.4,402.3,432.3,420.9,NA,586.2,78.9,99,NA,"UGANDA"
"629","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UGANDA"
"630","Land","Thousands",NA,NA,78,95,92,115,125,168,208,381,296,339,408,486,536,577,782,781,783,822.6,900.6,890.2,981.5,NA,956.4,394.2,414,NA,"UGANDA"
"631","Air","Thousands",350,323,515,418,523,523,605,665,675,844,1069,1217,1478,1662,1457,1731,2004,2298,2497,1193,1319,1602.9,2128.6,2566,2742.7,702.8,1430.4,145.6,"UKRAINE"
"632","Water","Thousands",560,530,1171,251,306,322,290,307,300,375,264,292,314,318,276,269,255,240,263,148,127,115.7,127.3,122.9,133.8,122.9,138.2,55.7,"UKRAINE"
"633","Land","Thousands",4575,4538,13058,11334,10160,10846,10982,11821,11539,14410,19156,20204,24370,26848,22300,22114,22276,22523,23265,11886,11579,12015.8,12323.5,11653.3,10833,2556.4,2703.4,2105.8,"UKRAINE"
"634","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14248.8,14421.7,15075.3,16315.6,17071.7,17636.2,5962.5,9460.4,NA,"UNITED ARAB EMIRATES"
"635","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392.2,317.5,422.9,398.5,396.9,538.7,279.3,127.8,NA,"UNITED ARAB EMIRATES"
"636","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1591.6,4574.3,5396.2,5090.6,5623.7,7106.7,1842.4,3196.1,NA,"UNITED ARAB EMIRATES"
"637","Air","Thousands",15754,16279,16858,17479,17284,17831,16054,17098,17635,20002,22043,24588,25089,24024,23239,22162.4,23740.7,23880.3,24786.5,26136.7,27262,29453,31879.5,31511.6,32137.2,NA,4922.5,25080,"UNITED KINGDOM"
"638","Water","Thousands",5998,6176,5746,5098,4993,4298,4002,4405,4369,4770,4675,4858,4459,4495,4463,4403.6,4388.9,4125.2,4301.7,4730.5,4892.4,4906.5,4666.3,4514.1,4460.4,NA,834.1,2772,"UNITED KINGDOM"
"639","Land","Thousands",1785,2708,2911,3168,3117,3080,2779,2677,2711,2983,3252,3267,3230,3369,3370,3832.4,3756.3,4215.5,4478.3,4469.5,4637.7,4769.3,4534.4,4257.5,4259.8,NA,627.2,3392,"UNITED KINGDOM"
"640","Air","Thousands",24668,27558,29393,29018,30218.835,32387.885,27399.153,24240.032,23078.148,25823.589,27673.12,27805.863,30347.488,32035.142,30016.433,33170.91,35978.485,37752.463,41679.971,43807.076,47666.717,46940.691,48734.483,50695.476,50253.1,10932.6,13735.6,31938.4,"UNITED STATES OF AMERICA"
"641","Water","Thousands",372,432,452,461,460.235934878109,481.851862252617,450.882906834714,386.481571416398,375.420823059211,417.018108734528,420.485246646152,452.51620442748,502.889270856106,460.343960524489,427.315953278516,415.912,411.282,449.587,578.297,597.837,565.267,553.457,531.737,561.207,536.7,57.7,74.6,547.3,"UNITED STATES OF AMERICA"
"642","Land","Thousands",18450,18646,18030,16890,17475.7501749386,18025.3656868451,18704.7126618673,18571.5934156934,17339.7791303616,19339.8414742072,20766.8898756209,22387.5556744283,24887.0913755311,25155.8261589525,24310.9579316633,26423.538,27087.649,28764.847,29384.639,30974.441,29541.542,28913.34,27920.526,28489.235,28651.9,8221.6,8290.2,18384,"UNITED STATES OF AMERICA"
"643","Air","Thousands",570,462,509,523,560,628,606,598,621,655,689,667,688,678,663,672,677,738,703,730,764,797,650,491,641,419.2,826,NA,"UNITED STATES VIRGIN ISLANDS"
"644","Water","Thousands",1171,1316,1619,1616,1404,1768,1891,1739,1774,1965,1913,1903,1918,1757,1582,1859,2009,1904,1999,2084,1879,1777,1304,1431,1433,442,245.7,NA,"UNITED STATES VIRGIN ISLANDS"
"645","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNITED STATES VIRGIN ISLANDS"
"646","Air","Thousands",402,466,436,429,402,377,332,299,314,380,406,419,437,458,468,565,628,568,503,564.7,531,603,641,705.8,600,NA,NA,NA,"URUGUAY"
"647","Water","Thousands",852,916,1105,956,909,1018,741,469,537,691,692,775,897,990,983,1016,984,909,910,814.1,1026,1025.7,1199.9,1017.4,897.1,NA,NA,NA,"URUGUAY"
"648","Land","Thousands",923,877,922,938,962,841,1064,586,649,801,819,630,478,550,647,827.1,1347.8,1368.6,1401.6,1431.8,1408,1699.8,2099.9,1988.7,1723.5,NA,NA,NA,"URUGUAY"
"649","Air","Thousands",89,168,939,789,465,280,323,296,220,235,217,523,855,231,217,227,NA,NA,NA,NA,NA,NA,NA,437,656.7,NA,NA,NA,"UZBEKISTAN"
"650","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UZBEKISTAN"
"651","Land","Thousands",3,6,21,22,22,22,22,16,11,27,25,37,48,838,998,748,NA,NA,NA,NA,NA,NA,NA,4909,6091.8,NA,NA,NA,"UZBEKISTAN"
"652","Air","Thousands",42,45,49,52,51,58,53,49,50,61,62,68,81,90.5,100.7,97.2,94,108.2,110.1,108.7,90,95.1,109,116,120.6,22,NA,30.3,"VANUATU"
"653","Water","Thousands",2,57,31,25,45,48,53,50,52,38,64,86,86,106.1,124.8,140.5,154.9,213.2,247.3,220.2,197,256,224,234,135.4,60.4,NA,34.6,"VANUATU"
"654","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VANUATU"
"655","Air","Thousands",614,665,714,682,584,453,578,298,258,380,595,565,607,651,529,489,529,721,752.2,614.3,549,523.5,351.3,NA,NA,NA,NA,NA,"VENEZUELA, BOLIVARIAN REPUBLIC OF"
"656","Water","Thousands",2,3,3,3,3,8,3,117,77,105,115,134,121,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VENEZUELA, BOLIVARIAN REPUBLIC OF"
